,code,name,latitude,longitude
146,6132,Larivière / de Lorimier,45.52915520624575,-73.559410572052
147,6432,de Maisonneuve / Greene,45.48697062,-73.58929306
148,6029,Bel Air / St-Antoine,45.482779,-73.58452544
149,6262,de la Roche /  de Bellechasse,45.53715922533132,-73.59747648239136
150,6418,de Vendôme / de Maisonneuve,45.47422369503188,-73.60372066497803
151,6258,Parc Père-Marquette (Chambord / Rosemont),45.53702583434782,-73.59316617250443
152,6196,Villeneuve / St-Laurent,45.52129287302808,-73.58936548233031
153,6916,Parc du Pélican (2e avenue / St-Joseph),45.544513,-73.571564
154,6035,Viger/Jeanne Mance,45.504803,-73.5612
155,6040,St-Jacques / St-Pierre,45.5028,-73.55917
156,6247,St-Dominique / St-Zotique,45.53228145673193,-73.61099146306515
157,6271,Casgrain / de Bellechasse,45.529993,-73.604214
158,6747,Waverly / St-Zotique,45.5306,-73.614616
159,6011,St-André / St-Antoine,45.5140873,-73.55230004
160,6065,de la Montagne / Sherbrooke,45.4996771,-73.57884854
161,6277,Elsdale/ Louis-Hebert,45.54918032376485,-73.59385818243027
162,6381,Omer-Lavallée / Midway,45.5457759528664,-73.56217458844185
163,6219,de l'Hôtel-de-Ville / Roy,45.51733310325783,-73.57443630695343
164,6133,Terrasse Mercure / Fullum,45.535614,-73.566014
165,6371,4e avenue / Masson,45.546978,-73.575515
166,6106,René-Lévesque / Papineau,45.52114,-73.54926
167,6046,de la Gauchetière / Mansfield,45.49871,-73.56671
168,6185,des Érables / Bélanger,45.5491255,-73.60091239
169,6195,de Bullion / St-Joseph,45.5240365462478,-73.59014332294464
170,6050,de la Commune / McGill,45.4986731,-73.55256289
171,6131,Fullum / Sherbrooke ,45.533924,-73.562425
172,6335,du Rosaire / St-Hubert,45.54467,-73.621581
173,6421,Cartier / Rosemont,45.541198,-73.590943
174,6200,Maguire / St-Laurent,45.52457,-73.59588
175,6129,de Bordeaux / Sherbrooke,45.53002706078813,-73.56317639350891
176,6212,Duluth / de l'Esplanade,45.51517174448816,-73.58100235462189
177,6259,Dandurand / de Lorimier,45.540881,-73.584157
178,6376,16e avenue / St-Joseph,45.55292309731551,-73.56575198471546
179,6022,Angus (Molson / William-Tremblay),45.54172920185872,-73.56549382209778
180,6281,Resther / St-Joseph,45.5277271,-73.58628362
181,6031,St-Antoine / St-François-Xavier,45.50449,-73.5592
182,6229,Coloniale / du Mont-Royal,45.521155685854765,-73.58558893203735
183,6111,Parthenais / Ste-Catherine,45.52620613795135,-73.54925036430359
184,6121,Rouen / du Havre,45.534863725133626,-73.55545459320638
185,6349,Ryde / Charlevoix,45.4757434,-73.5646007
186,6024,des Érables / Sherbrooke,45.531367,-73.562624
187,6234,Bernard / Clark,45.52697,-73.60261
188,6344,St-Dominique / Jean-Talon,45.535189,-73.617459
189,6908,de Bellechasse / de St-Vallier,45.5331949357227,-73.60117256641388
190,6086,Shannon / Ottawa,45.49457934841001,-73.55875611305237
191,6103,Lespérance / Rouen,45.538799,-73.552496
192,6073,de Maisonneuve / Aylmer,45.50501,-73.57069
193,6075,University / des Pins,45.508356,-73.580498
194,6013,Sanguinet / de Maisonneuve,45.51339,-73.56255
195,6119,Dorion / Ontario,45.52697,-73.558021
196,6037,St-Nicolas / Place d'Youville,45.50197437877896,-73.55515658855438
197,6913,Drolet / Beaubien,45.533348,-73.605834
198,6377,Grand Trunk / Hibernia,45.47968,-73.56385
199,6260,Dandurand / Papineau,45.538589,-73.586302
200,6096,Lucien L'Allier / St-Jacques,45.49356916133978,-73.56857568025589
201,6197,Bordeaux / Masson,45.53895775569034,-73.58243197202682
202,6257,de St-Vallier / St-Zotique,45.536299,-73.607773
203,6924,de Bordeaux / Jean-Talon,45.54970407823863,-73.60551238059998
204,6218,Prince-Arthur / St-Urbain,45.5126137,-73.57372552
205,6327,Faillon / St-Denis,45.53985704,-73.62038255
206,6108,Logan / Fullum,45.528448693514136,-73.55108499526978
207,6008,Sanguinet / Ste-Catherine,45.512734,-73.5611406
208,6329,Gounod / St-Denis,45.54176571696572,-73.62612783908844
209,6126,Rouen / Fullum,45.53217,-73.55859
210,5007,Métro Longueuil - Université de Sherbrooke,45.523854,-73.519677
211,6324,de Liège / Lajeunesse,45.54554155627702,-73.6347484588623
212,6251,de Gaspé / Dante,45.534377,-73.612278
213,6066,Mansfield / Ste-Catherine,45.5014018,-73.5718136
214,6925,des Écores / Jean-Talon,45.55244260913485,-73.60300183296204
215,6334,Lajeunesse / Jarry,45.543583,-73.6284
216,6084,Lambert-Closse / Tupper,45.489609,-73.582445
217,6928,Louis-Colin / McKenna,45.500035,-73.618105
218,6405,Duvernay / Charlevoix,45.48203995,-73.57486278
219,6090,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),45.49486,-73.57108
220,6396,Métro Pie-IX (Pierre-de-Coubertin / Pie-IX),45.553879,-73.551761
221,6021,de l'Hôtel-de-Ville / Sherbrooke,45.51453083866944,-73.56847107410431
222,6122,Logan / d'Iberville,45.53057,-73.54913
223,6321,Gary-Carter / St-Laurent,45.536123205883136,-73.62244516611099
224,6362,1ère avenue / Rosemont,45.547997,-73.58523
225,6433,Hillside / Ste-Catherine,45.4829,-73.591
226,6261,Louis Hémon / Rosemont,45.54458,-73.588069
227,6323,Guizot / St-Laurent,45.53963159810423,-73.63444805145264
228,6915,Alma / Beaubien,45.53237205692519,-73.60643248568522
229,5006,Collège Édouard-Montpetit,45.53722603812578,-73.49506705999374
230,6415,Wilson / Sherbrooke,45.4703,-73.6162
231,6058,Cypress / Peel,45.49932551028458,-73.57176750898361
232,6266,Louis-Hébert / Beaubien,45.54816007401565,-73.5920262336731
233,6063,Drummond / de Maisonneuve,45.49947,-73.57591
234,6236,Laurier / Bordeaux,45.53725879867612,-73.57917040586472
235,6246,Métro Outremont (Wiseman / Van Horne),45.520294969655005,-73.61482366919518
236,6394,Valois / Ontario,45.54730353,-73.5438269
237,6168,Marmier / St-Denis,45.530871318676006,-73.59834551811218
238,6112,Montcalm / de Maisonneuve,45.519157,-73.55786
239,6386,Métro Préfontaine (Moreau / Hochelaga),45.5414350841351,-73.55431437492369
240,6333,Leman / de Chateaubriand,45.547218,-73.631103
241,6171,Wolfe / Robin,45.5195,-73.560269
242,6018,St-André / Ontario,45.51889,-73.56353
243,6264,Chabot / de Bellechasse,45.5427,-73.59212
244,6092,Crescent / René-Lévesque,45.49606,-73.57348
245,6435,Victoria Hall,45.4816,-73.6
246,6270,Fabre / St-Zotique,45.543541,-73.600982
